Id,In_state_id,From_state_id,To_state_id,Adjustment,Effected_model_id,PSA_id
185,108,3,8,4.95246782,0,0
186,109,3,8,11.16249029,0,0
187,110,3,8,11.16249029,0,0
188,111,3,8,11.16249029,0,0
189,112,3,8,11.16249029,0,0
190,113,3,8,11.16249029,0,0
191,114,3,8,11.16249029,0,0
192,115,3,8,11.16249029,0,0
193,116,3,8,11.16249029,0,0
194,117,3,8,11.16249029,0,0
195,118,3,8,11.16249029,0,0
196,119,3,8,11.16249029,0,0
197,120,3,8,11.16249029,0,0
198,121,3,8,11.16249029,0,0
199,122,3,8,11.16249029,0,0
200,123,3,8,11.16249029,0,0
201,124,3,8,11.16249029,0,0
202,125,3,8,11.16249029,0,0
203,126,3,8,11.16249029,0,0
204,127,3,8,11.16249029,0,0
205,128,3,8,11.16249029,0,0
206,129,3,8,11.16249029,0,0
207,130,3,8,11.16249029,0,0
208,131,3,8,11.16249029,0,0
209,132,3,8,11.16249029,0,0
210,133,3,8,11.16249029,0,0
211,134,3,8,11.16249029,0,0
212,25,4,2,1,0,0
213,26,4,2,1,0,0
214,30,4,2,1,0,0
215,31,4,2,1,0,0
216,39,4,2,1,0,0
217,25,4,3,1,0,0
218,26,4,3,1,0,0
219,30,4,3,1,0,0
220,31,4,3,1,0,0
221,39,4,3,1,0,0
222,25,4,5,1.8,0,41
223,26,4,5,2.5,0,42
224,30,4,5,0.93,0,39
225,31,4,5,1.67,0,40
226,39,4,5,2,0,43
227,64,4,6,0.364216,0,0
228,65,4,6,0.364216,0,0
229,66,4,6,0.364216,0,0
230,67,4,6,0.364216,0,0
231,68,4,6,0.364216,0,0
232,69,4,6,0.464842166,0,0
233,70,4,6,0.464842166,0,0
234,71,4,6,0.464842166,0,0
235,72,4,6,0.464842166,0,0
236,73,4,6,0.464842166,0,0
237,74,4,6,0.593269486,0,0
238,75,4,6,0.593269486,0,0
239,76,4,6,0.593269486,0,0
240,77,4,6,0.593269486,0,0
241,78,4,6,0.593269486,0,0
242,79,4,6,0.757178906,0,0
243,80,4,6,0.757178906,0,0
244,81,4,6,0.757178906,0,0
245,82,4,6,0.757178906,0,0
246,83,4,6,0.757178906,0,0
247,84,4,6,0.966373478,0,0
248,85,4,6,0.966373478,0,0
249,86,4,6,0.966373478,0,0
250,87,4,6,0.966373478,0,0
251,88,4,6,0.966373478,0,0
252,89,4,6,1.233364652,0,0
253,90,4,6,1.233364652,0,0
254,91,4,6,1.233364652,0,0
255,92,4,6,1.233364652,0,0
256,93,4,6,1.233364652,0,0
257,94,4,6,1.574120565,0,0
258,95,4,6,1.574120565,0,0
259,96,4,6,1.574120565,0,0
