Id,In_state_id,From_state_id,To_state_id,Adjustment,Effected_model_id,PSA_id
184,109,3,8,4.95246782,0,0
185,110,3,8,4.95246782,0,0
186,111,3,8,11.16249029,0,0
187,112,3,8,11.16249029,0,0
188,113,3,8,11.16249029,0,0
189,114,3,8,11.16249029,0,0
190,115,3,8,11.16249029,0,0
191,116,3,8,11.16249029,0,0
192,117,3,8,11.16249029,0,0
193,118,3,8,11.16249029,0,0
194,119,3,8,11.16249029,0,0
195,120,3,8,11.16249029,0,0
196,121,3,8,11.16249029,0,0
197,122,3,8,11.16249029,0,0
198,123,3,8,11.16249029,0,0
199,124,3,8,11.16249029,0,0
200,125,3,8,11.16249029,0,0
201,126,3,8,11.16249029,0,0
202,127,3,8,11.16249029,0,0
203,128,3,8,11.16249029,0,0
204,129,3,8,11.16249029,0,0
205,130,3,8,11.16249029,0,0
206,131,3,8,11.16249029,0,0
207,132,3,8,11.16249029,0,0
208,133,3,8,11.16249029,0,0
209,134,3,8,11.16249029,0,0
210,135,3,8,11.16249029,0,0
211,136,3,8,11.16249029,0,0
212,25,4,2,0.555555556,0,0
213,26,4,2,0.4,0,0
214,31,4,2,1.075268817,0,0
215,32,4,2,0.598802395,0,0
216,41,4,2,0.5,0,0
217,25,4,3,0.555555556,0,0
218,26,4,3,0.4,0,0
219,31,4,3,1.075268817,0,0
220,32,4,3,0.598802395,0,0
221,41,4,3,0.5,0,0
222,25,4,5,1.8,0,41
223,26,4,5,2.5,0,42
224,31,4,5,0.93,0,39
225,32,4,5,1.67,0,40
226,41,4,5,2,0,43
227,66,4,6,0.364216,0,0
228,67,4,6,0.364216,0,0
229,68,4,6,0.364216,0,0
230,69,4,6,0.364216,0,0
231,70,4,6,0.364216,0,0
232,71,4,6,0.464842166,0,0
233,72,4,6,0.464842166,0,0
234,73,4,6,0.464842166,0,0
235,74,4,6,0.464842166,0,0
236,75,4,6,0.464842166,0,0
237,76,4,6,0.593269486,0,0
238,77,4,6,0.593269486,0,0
239,78,4,6,0.593269486,0,0
240,79,4,6,0.593269486,0,0
241,80,4,6,0.593269486,0,0
242,81,4,6,0.757178906,0,0
243,82,4,6,0.757178906,0,0
244,83,4,6,0.757178906,0,0
245,84,4,6,0.757178906,0,0
246,85,4,6,0.757178906,0,0
247,86,4,6,0.966373478,0,0
248,87,4,6,0.966373478,0,0
249,88,4,6,0.966373478,0,0
250,89,4,6,0.966373478,0,0
251,90,4,6,0.966373478,0,0
252,91,4,6,1.233364652,0,0
253,92,4,6,1.233364652,0,0
254,93,4,6,1.233364652,0,0
255,94,4,6,1.233364652,0,0
256,95,4,6,1.233364652,0,0
257,96,4,6,1.574120565,0,0
258,97,4,6,1.574120565,0,0
259,98,4,6,1.574120565,0,0
260,99,4,6,1.574120565,0,0
261,100,4,6,1.574120565,0,0
262,101,4,6,2.009021055,0,0
263,102,4,6,2.009021055,0,0
264,103,4,6,2.009021055,0,0
265,104,4,6,2.009021055,0,0
266,105,4,6,2.009021055,0,0
267,106,4,6,2.564076531,0,0
268,107,4,6,2.564076531,0,0
269,108,4,6,2.564076531,0,0
270,109,4,6,2.564076531,0,0
271,110,4,6,2.564076531,0,0
272,111,4,6,2.564076531,0,0
273,112,4,6,2.564076531,0,0
274,113,4,6,2.564076531,0,0
275,114,4,6,2.564076531,0,0
276,115,4,6,2.564076531,0,0
277,116,4,6,2.564076531,0,0
278,117,4,6,2.564076531,0,0
279,118,4,6,2.564076531,0,0
280,119,4,6,2.564076531,0,0
281,120,4,6,2.564076531,0,0
282,121,4,6,2.564076531,0,0
283,122,4,6,2.564076531,0,0
284,123,4,6,2.564076531,0,0
285,124,4,6,2.564076531,0,0
286,125,4,6,2.564076531,0,0
287,126,4,6,2.564076531,0,0
288,127,4,6,2.564076531,0,0
289,128,4,6,2.564076531,0,0
290,129,4,6,2.564076531,0,0
291,130,4,6,2.564076531,0,0
292,131,4,6,2.564076531,0,0
293,132,4,6,2.564076531,0,0
294,133,4,6,2.564076531,0,0
295,134,4,6,2.564076531,0,0
296,135,4,6,2.564076531,0,0
297,136,4,6,2.564076531,0,0
298,46,4,8,0.08552714,0,0
299,47,4,8,0.08552714,0,0
300,48,4,8,0.08552714,0,0
301,49,4,8,0.08552714,0,0
302,50,4,8,0.08552714,0,0
303,51,4,8,0.09344572,0,0
304,52,4,8,0.09344572,0,0
305,53,4,8,0.09344572,0,0
306,54,4,8,0.09344572,0,0
307,55,4,8,0.09344572,0,0
308,56,4,8,0.10473965,0,0
309,57,4,8,0.10473965,0,0
310,58,4,8,0.10473965,0,0
311,59,4,8,0.10473965,0,0
312,60,4,8,0.10473965,0,0
313,61,4,8,0.12756095,0,0
314,62,4,8,0.12756095,0,0
315,63,4,8,0.12756095,0,0
316,64,4,8,0.12756095,0,0
317,65,4,8,0.12756095,0,0
318,66,4,8,0.17787943,0,0
319,67,4,8,0.17787943,0,0
320,68,4,8,0.17787943,0,0
321,69,4,8,0.17787943,0,0
322,70,4,8,0.17787943,0,0
323,71,4,8,0.27476942,0,0
324,72,4,8,0.27476942,0,0
325,73,4,8,0.27476942,0,0
326,74,4,8,0.27476942,0,0
327,75,4,8,0.27476942,0,0
328,76,4,8,0.4112448,0,0
329,77,4,8,0.4112448,0,0
330,78,4,8,0.4112448,0,0
331,79,4,8,0.4112448,0,0
332,80,4,8,0.4112448,0,0
333,81,4,8,0.58270304,0,0
334,82,4,8,0.58270304,0,0
335,83,4,8,0.58270304,0,0
336,84,4,8,0.58270304,0,0
337,85,4,8,0.58270304,0,0
338,86,4,8,0.82195325,0,0
339,87,4,8,0.82195325,0,0
340,88,4,8,0.82195325,0,0
341,89,4,8,0.82195325,0,0
342,90,4,8,0.82195325,0,0
343,91,4,8,1.24193656,0,0
344,92,4,8,1.24193656,0,0
345,93,4,8,1.24193656,0,0
346,94,4,8,1.24193656,0,0
347,95,4,8,1.24193656,0,0
348,96,4,8,1.90872407,0,0
349,97,4,8,1.90872407,0,0
350,98,4,8,1.90872407,0,0
351,99,4,8,1.90872407,0,0
352,100,4,8,1.90872407,0,0
353,101,4,8,3.0382911,0,0
354,102,4,8,3.0382911,0,0
355,103,4,8,3.0382911,0,0
356,104,4,8,3.0382911,0,0
357,105,4,8,3.0382911,0,0
358,106,4,8,4.95246782,0,0
359,107,4,8,4.95246782,0,0
360,108,4,8,4.95246782,0,0
361,109,4,8,4.95246782,0,0
362,110,4,8,4.95246782,0,0
363,111,4,8,11.16249029,0,0
364,112,4,8,11.16249029,0,0
365,113,4,8,11.16249029,0,0
366,114,4,8,11.16249029,0,0
367,115,4,8,11.16249029,0,0
368,116,4,8,11.16249029,0,0
369,117,4,8,11.16249029,0,0
370,118,4,8,11.16249029,0,0
371,119,4,8,11.16249029,0,0
372,120,4,8,11.16249029,0,0
373,121,4,8,11.16249029,0,0
374,122,4,8,11.16249029,0,0
375,123,4,8,11.16249029,0,0
376,124,4,8,11.16249029,0,0
377,125,4,8,11.16249029,0,0
378,126,4,8,11.16249029,0,0
379,127,4,8,11.16249029,0,0
380,128,4,8,11.16249029,0,0
381,129,4,8,11.16249029,0,0
382,130,4,8,11.16249029,0,0
383,131,4,8,11.16249029,0,0
384,132,4,8,11.16249029,0,0
385,133,4,8,11.16249029,0,0
386,134,4,8,11.16249029,0,0
387,135,4,8,11.16249029,0,0
388,136,4,8,11.16249029,0,0
389,66,5,6,0.442216971,0,0
390,67,5,6,0.442216971,0,0
391,68,5,6,0.442216971,0,0
392,69,5,6,0.442216971,0,0
393,70,5,6,0.442216971,0,0
394,71,5,6,0.564393367,0,0
395,72,5,6,0.564393367,0,0
396,73,5,6,0.564393367,0,0
397,74,5,6,0.564393367,0,0
398,75,5,6,0.564393367,0,0
399,76,5,6,0.720324848,0,0
400,77,5,6,0.720324848,0,0
401,78,5,6,0.720324848,0,0
402,79,5,6,0.720324848,0,0
