Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
22,295,126,207,45,7,0
23,285,117,220,63,5,35
24,301,144,211,52,4,30
25,297,133,173,51,6,25
26,307,132,235,38,8,30
27,275,154,160,44,5,25
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,209,44,137,35,3,5
4,164,51,119,43,2,25
5,207,66,124,39,2,10
6,195,71,118,33,3,10
7,227,54,111,42,6,5
8,208,60,144,35,1,35
9,215,62,129,46,5,10
10,208,75,133,46,5,25
11,213,55,134,50,1,10
12,207,71,135,28,2,10
13,208,67,144,49,1,15
14,227,80,156,45,7,25
15,225,93,166,51,4,30
16,227,94,148,46,7,15
17,227,79,143,47,3,30
18,188,88,142,41,3,5
19,211,95,153,40,8,5
20,209,85,150,41,8,25
21,227,85,165,50,9,50
22,257,93,183,62,4,40
23,206,93,171,43,5,55
24,196,106,175,52,14,15
25,212,83,193,55,4,35
26,223,102,179,61,4,35
27,203,110,187,60,9,30
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,209,44,137,35,3,5
4,164,51,119,43,2,25
5,207,66,122,39,2,10
6,193,71,118,33,3,10
7,225,54,109,42,6,5
8,205,60,139,35,1,35
9,211,62,129,46,5,10
10,206,75,133,46,5,25
11,210,55,130,50,1,10
12,206,71,131,28,2,10
13,203,67,143,49,1,15
14,223,79,151,44,5,25
15,224,92,162,51,4,20
16,228,92,145,44,7,15
17,223,79,139,47,2,30
18,184,88,140,41,2,5
19,208,96,153,38,8,5
20,205,86,147,41,6,25
21,223,85,161,52,9,35
22,252,93,180,62,4,40
23,202,92,168,43,5,50
24,193,108,172,50,12,15
25,211,83,191,55,4,30
26,217,102,175,58,6,30
27,197,109,185,59,9,35
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,209,44,137,35,3,5
4,164,51,119,43,2,25
5,206,66,121,39,2,10
6,190,71,116,33,3,10
7,222,54,108,42,5,5
8,198,60,137,35,1,35
9,208,61,125,46,4,10
10,198,74,130,46,5,15
11,199,55,120,50,1,10
12,198,71,128,28,1,10
13,195,66,139,49,1,10
14,217,77,149,43,3,25
15,214,89,155,51,4,15
16,219,89,141,44,6,15
17,215,76,135,47,3,25
18,174,88,136,40,2,5
19,198,96,146,37,7,10
20,198,85,135,43,5,20
21,208,83,155,50,7,35
22,238,93,168,62,2,35
23,193,89,161,42,4,30
24,180,108,163,51,10,10
25,202,82,175,52,3,25
26,208,101,172,55,6,20
27,188,107,173,57,5,35
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,239,77,96,46,1,20
4,234,67,94,32,0,15
5,269,68,94,45,3,0
6,272,91,81,26,5,20
7,272,77,104,37,2,20
8,273,89,82,38,2,15
9,286,106,119,35,2,0
10,289,111,94,43,4,20
11,296,106,113,36,1,10
12,305,120,88,34,1,10
13,268,125,96,40,4,0
14,298,127,88,30,6,10
15,276,99,105,37,3,30
16,283,128,104,18,4,20
17,284,141,106,25,6,15
18,308,120,98,21,4,20
19,297,125,121,43,7,35
20,277,143,117,27,5,35
21,275,162,99,35,3,10
22,253,142,118,24,11,20
23,316,157,127,26,7,50
24,313,157,112,36,3,35
25,298,158,113,22,6,35
26,300,178,124,23,4,40
27,307,188,128,24,6,15
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,239,77,96,46,1,20
4,234,67,94,32,0,15
5,269,68,94,45,3,0
6,271,91,81,26,5,20
7,271,76,104,37,2,20
8,269,89,82,38,2,15
9,285,106,119,35,2,0
10,286,111,94,43,4,20
11,292,106,112,36,1,10
12,302,120,87,34,0,10
13,267,125,96,40,4,0
14,293,127,87,30,5,10
15,272,99,104,37,3,20
16,278,127,103,18,4,20
17,273,141,104,25,6,15
18,306,120,95,21,4,20
19,293,124,117,43,7,35
20,273,142,117,27,4,35
21,268,161,97,33,2,10
22,252,141,117,24,11,15
23,312,157,126,27,7,45
24,305,156,110,36,3,35
25,291,157,110,22,6,35
26,294,177,122,23,3,40
27,298,184,125,24,6,10
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,239,77,96,46,1,20
4,232,67,93,32,0,15
5,264,68,93,45,3,0
6,271,90,80,26,5,20
7,270,76,104,37,2,20
8,259,89,82,38,2,15
9,283,106,119,35,2,0
10,276,110,93,43,4,20
11,283,106,108,36,0,10
12,297,118,87,32,0,10
13,261,125,96,39,4,0
14,279,127,84,30,5,5
15,262,97,100,37,3,20
16,267,127,103,18,4,20
17,268,139,102,24,5,15
18,292,119,94,21,2,20
19,288,121,112,43,5,25
20,265,141,115,26,4,25
21,263,157,95,33,2,10
22,245,141,112,24,6,15
23,305,154,125,26,7,30
24,298,157,108,35,3,30
25,283,153,110,23,5,25
26,293,172,117,23,3,35
27,283,185,119,23,6,10
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,242,60,111,50,3,0
4,247,59,113,61,3,15
5,246,71,96,50,5,20
6,282,76,115,46,2,5
7,265,74,113,46,0,20
8,283,84,120,55,1,10
9,291,90,123,63,3,0
10,300,89,122,53,6,5
11,277,86,127,50,2,35
12,267,93,132,53,2,10
13,274,87,142,56,2,15
14,266,88,135,51,9,10
15,305,121,127,55,6,25
16,324,120,136,57,6,30
17,282,117,141,58,4,25
18,317,131,142,47,9,30
19,326,161,139,58,2,35
20,329,155,150,67,3,10
21,271,149,169,66,9,25
22,295,162,155,64,3,35
23,296,171,159,59,4,15
24,272,171,178,71,5,30
25,298,166,154,74,6,15
26,319,155,176,73,8,35
27,310,165,140,75,11,25
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,242,60,111,50,3,0
4,245,59,113,61,3,15
5,244,71,93,50,5,20
6,279,76,113,46,2,5
7,260,74,112,46,0,20
8,280,84,120,55,1,10
9,287,90,122,63,3,0
10,296,88,119,53,5,5
11,271,85,124,48,2,35
12,261,93,130,53,2,5
13,266,87,140,56,2,15
14,261,88,132,51,9,10
15,297,120,125,54,6,25
16,313,119,134,57,6,30
17,274,116,138,56,4,25
18,303,129,139,48,8,30
19,316,159,135,55,2,30
20,319,152,146,67,1,10
21,265,148,167,65,7,25
22,293,159,153,62,2,25
23,291,169,150,59,4,10
24,269,169,175,70,5,30
25,285,167,149,73,6,10
26,309,157,170,72,7,35
27,292,164,136,76,10,20
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,242,60,111,50,3,0
4,244,59,112,61,3,15
5,239,71,92,50,5,20
6,270,76,110,46,1,5
7,249,73,109,46,0,15
8,269,84,120,55,1,10
9,278,90,119,63,3,0
10,276,86,119,52,3,5
11,258,83,120,48,0,25
12,249,91,126,53,2,5
13,253,86,134,55,2,5
