,Model_id,Model_name,To_state_id,To_state_name,Sex_state_id,Race_state_id,Age,Probability
172,6.0,Physical activity,39.0,Active,34.0,29.0,97.0,0.212
173,6.0,Physical activity,39.0,Active,34.0,29.0,98.0,0.212
174,6.0,Physical activity,39.0,Active,34.0,29.0,99.0,0.212
175,6.0,Physical activity,39.0,Active,34.0,29.0,100.0,0.212
176,6.0,Physical activity,39.0,Active,34.0,29.0,101.0,0.212
177,6.0,Physical activity,39.0,Active,34.0,29.0,102.0,0.212
178,6.0,Physical activity,39.0,Active,34.0,29.0,103.0,0.212
179,6.0,Physical activity,39.0,Active,34.0,29.0,104.0,0.212
180,6.0,Physical activity,39.0,Active,34.0,29.0,105.0,0.212
181,6.0,Physical activity,39.0,Active,34.0,29.0,106.0,0.212
182,6.0,Physical activity,39.0,Active,34.0,29.0,107.0,0.212
183,6.0,Physical activity,39.0,Active,34.0,29.0,108.0,0.212
184,6.0,Physical activity,39.0,Active,34.0,29.0,109.0,0.212
185,6.0,Physical activity,39.0,Active,34.0,29.0,110.0,0.212
186,6.0,Physical activity,39.0,Active,34.0,30.0,18.0,0.608
187,6.0,Physical activity,39.0,Active,34.0,30.0,19.0,0.608
188,6.0,Physical activity,39.0,Active,34.0,30.0,20.0,0.608
189,6.0,Physical activity,39.0,Active,34.0,30.0,21.0,0.608
190,6.0,Physical activity,39.0,Active,34.0,30.0,22.0,0.608
191,6.0,Physical activity,39.0,Active,34.0,30.0,23.0,0.608
192,6.0,Physical activity,39.0,Active,34.0,30.0,24.0,0.608
193,6.0,Physical activity,39.0,Active,34.0,30.0,25.0,0.515
194,6.0,Physical activity,39.0,Active,34.0,30.0,26.0,0.515
195,6.0,Physical activity,39.0,Active,34.0,30.0,27.0,0.515
196,6.0,Physical activity,39.0,Active,34.0,30.0,28.0,0.515
197,6.0,Physical activity,39.0,Active,34.0,30.0,29.0,0.515
198,6.0,Physical activity,39.0,Active,34.0,30.0,30.0,0.515
199,6.0,Physical activity,39.0,Active,34.0,30.0,31.0,0.515
200,6.0,Physical activity,39.0,Active,34.0,30.0,32.0,0.515
201,6.0,Physical activity,39.0,Active,34.0,30.0,33.0,0.515
202,6.0,Physical activity,39.0,Active,34.0,30.0,34.0,0.515
203,6.0,Physical activity,39.0,Active,34.0,30.0,35.0,0.515
204,6.0,Physical activity,39.0,Active,34.0,30.0,36.0,0.515
205,6.0,Physical activity,39.0,Active,34.0,30.0,37.0,0.515
206,6.0,Physical activity,39.0,Active,34.0,30.0,38.0,0.515
